id;nome;siglaPartido;siglaUf;genero
179000;MARCELO ÁLVARO ANTÔNIO;PSL;MG;M
146788;MARCELO ARO;PHS;MG;M
74460;MARCELO CASTRO;MDB;PI;M
195826;MARCELO DELAROLI;PR;RJ;M
76287;MARCELO MATOS;PSD;RJ;M
74278;MARCELO ORTIZ;PODE;SP;M
118594;MARCELO SQUASSONI;PRB;SP;M
178983;MARCIO ALVINO;PR;SP;M
179001;MÁRCIO BIOLCHI;MDB;RS;M
150418;MÁRCIO MARINHO;PRB;BA;M
178942;MARCO ANTÔNIO CABRAL;MDB;RJ;M
133373;MARCO MAIA;PT;RS;M
160536;MARCO TEBALDI;PSDB;SC;M
160535;MARCON;PT;RS;M
74470;MARCONDES GADELHA;PSC;PB;M
178880;MARCOS ABRÃO;PPS;GO;M
141500;MARCOS MONTES;PSD;MG;M
178852;MARCOS REATEGUI;PSD;AP;M
167722;MARCOS ROGÉRIO;DEM;RO;M
178943;MARCOS SOARES;DEM;RJ;M
159238;MARCUS PESTANA;PSDB;MG;M
74235;MARCUS VICENTE;PP;ES;M
178919;MARINALDO ROSENDO;PP;PE;M
74158;MÁRIO HERINGER;PDT;MG;M
178858;MÁRIO NEGROMONTE JR.;PP;BA;M
178843;MARX BELTRÃO;PSD;AL;M
74050;MAURÍCIO QUINTELLA LESSA;PR;AL;M
74749;MAURO LOPES;MDB;MG;M
141507;MAURO MARIANI;MDB;SC;M
74428;MENDONÇA FILHO;DEM;PE;M
141509;MIGUEL CORRÊA;PT;MG;M
178984;MIGUEL HADDAD;PSDB;SP;M
178985;MIGUEL LOMBARDI;PR;SP;M
74787;MILTON MONTI;PR;SP;M
74862;MIRO TEIXEIRA;REDE;RJ;M
178895;MISAEL VARELLA;PSD;MG;M
160561;MISSIONÁRIO JOSÉ OLIMPIO;DEM;SP;M
178997;MOSES RODRIGUES;MDB;CE;M
73553;NELSON MARQUEZELLI;PTB;SP;M
73781;NELSON MEURER;PP;PR;M
74571;NELSON PELLEGRINO;PT;BA;M
178896;NEWTON CARDOSO JR;MDB;MG;M
166401;NILSON LEITÃO;PSDB;MT;M
74352;NILSON PINTO;PSDB;PA;M
178986;NILTO TATTO;PT;SP;M
74359;NILTON CAPIXABA;PTB;RO;M
74159;ODAIR CUNHA;PT;MG;M
178868;ODORICO MONTEIRO;PSB;CE;M
74399;ONYX LORENZONI;DEM;RS;M
178987;ORLANDO SILVA;PCdoB;SP;M
180545;OSMAR BERTOLDI;DEM;PR;M
73463;OSMAR SERRAGLIO;PP;PR;M
73692;OSMAR TERRA;MDB;RS;M
202063;OSVALDO MAFRA;SD;SC;M
141515;OTAVIO LEITE;PSDB;RJ;M
160556;PADRE JOÃO;PT;MG;M
74319;PAES LANDIM;PTB;PI;M
160642;PASTOR EURICO;PATRI;PE;M
74160;PATRUS ANANIAS;PT;MG;M
74095;PAUDERNEY AVELINO;DEM;AM;M
171617;PAULÃO;PT;AL;M
141516;PAULO ABI-ACKEL;PSDB;MG;M
178860;PAULO AZI;DEM;BA;M
74017;PAULO FEIJÓ;PR;RJ;M
160517;PAULO FOLETTO;PSB;ES;M
160558;PAULO FREIRE;PR;SP;M
74574;PAULO MAGALHÃES;PSD;BA;M
141518;PAULO PEREIRA DA SILVA;SD;SP;M
74400;PAULO PIMENTA;PT;RS;M
141488;PAULO TEIXEIRA;PT;SP;M
74812;PEDRO CHAVES;MDB;GO;M
178912;PEDRO CUNHA LIMA;PSDB;PB;M
74449;PEDRO FERNANDES;PTB;MA;M
122158;PEDRO PAULO;DEM;RJ;M
160604;PEDRO UCZAI;PT;SC;M
178844;PEDRO VILELA;PSDB;AL;M
141445;PEPE VARGAS;PT;RS;M
73486;POMPEO DE MATTOS;PDT;RS;M
160601;PR. MARCO FELICIANO;PODE;SP;M
200153;PROF. GEDEÃO AMORIM;MDB;AM;M
148134;PROFESSOR VICTÓRIO GALLI;PSL;MT;M
178951;RAFAEL MOTTA;PSB;RN;M
74216;RAIMUNDO GOMES DE MATOS;PSDB;CE;M
74161;REGINALDO LOPES;PT;MG;M
73786;REINHOLD STEPHANES;PSD;PR;M
178960;REMÍDIO MONAI;PR;RR;M
171620;RENATO ANDRADE;PP;MG;M
141527;RENATO MOLLING;PP;RS;M
160654;RENZO BRAZ;PP;MG;M
73788;RICARDO BARROS;PP;PR;M
160655;RICARDO IZAR;PP;SP;M
178920;RICARDO TEOBALDO;PODE;PE;M
141472;RICARDO TRIPOLI;PSDB;SP;M
152610;ROBERTO ALVES;PRB;SP;M
73674;ROBERTO BALESTRA;PP;GO;M
141529;ROBERTO BRITTO;PP;BA;M
160653;ROBERTO DE LUCENA;PODE;SP;M
178944;ROBERTO SALES;DEM;RJ;M
178840;ROCHA;PSDB;AC;M
141531;RODRIGO DE CASTRO;PSDB;MG;M
88950;RODRIGO GARCIA;DEM;SP;M
74693;RODRIGO MAIA;DEM;RJ;M
178926;RODRIGO MARTINS;PSB;PI;M
178897;RODRIGO PACHECO;DEM;MG;M
141535;ROGÉRIO MARINHO;PSDB;RN;M
160651;ROGÉRIO PENINHA MENDONÇA;MDB;SC;M
160426;ROGÉRIO ROSSO;PSD;DF;M
160515;RONALDO BENEDET;MDB;SC;M
178861;RONALDO CARLETTO;PP;BA;M
178845;RONALDO LESSA;PDT;AL;M
122466;RONALDO MARTINS;PRB;CE;M
163321;RONALDO NOGUEIRA;PTB;RS;M
178870;RÔNEY NEMER;PP;DF;M
178935;ROSSONI;PSDB;PR;M
73466;RUBENS BUENO;PPS;PR;M
74371;RUBENS OTONI;PT;GO;M
178887;RUBENS PEREIRA JÚNIOR;PCdoB;MA;M
160630;SÁGUAS MORAES;PT;MT;M
178990;SAMUEL MOREIRA;PSDB;SP;M
74372;SANDES JÚNIOR;PP;GO;M
160621;SANDRO ALEX;PSD;PR;M
74762;SARAIVA FELIPE;MDB;MG;M
74210;SARNEY FILHO;PV;MA;M
178921;SEBASTIÃO OLIVEIRA;PR;PE;M
73808;SÉRGIO BRITO;PSD;BA;M
141542;SÉRGIO MORAES;PTB;RS;M
178991;SÉRGIO REIS;PRB;SP;M
178933;SERGIO SOUZA;MDB;PR;M
178874;SERGIO VIDIGAL;PDT;ES;M
160612;SERGIO ZVEITER;DEM;RJ;M
160613;SIBÁ MACHADO;PT;AC;M
74356;SILAS CÂMARA;PRB;AM;M
4930;SILVIO COSTA;AVANTE;PE;M
73560;SILVIO TORRES;PSDB;SP;M
73424;SIMÃO SESSIM;PP;RJ;M
178947;SÓSTENES CAVALCANTE;DEM;RJ;M
92776;STEFANO AGUIAR;PSD;MG;M
177282;SUBTENENTE GONZAGA;PDT;MG;M
178922;TADEU ALENCAR;PSB;PE;M
74385;TAKAYAMA;PSC;PR;M
178898;TENENTE LÚCIO;PR;MG;M
160617;THIAGO PEIXOTO;PSD;GO;M
160976;TIRIRICA;PR;SP;M
160611;TONINHO PINHEIRO;PP;MG;M
178934;TONINHO WANDSCHEER;PROS;PR;M
178863;ULDURICO JUNIOR;PPL;BA;M
195866;VAIDON OLIVEIRA;PROS;CE;M
141384;VALADARES FILHO;PSB;SE;M
74010;VALDIR COLATTO;MDB;SC;M
160610;VALMIR ASSUNÇÃO;PT;BA;M
113247;VALMIR PRASCIDELLI;PT;SP;M
141552;VALTENIR PEREIRA;MDB;MT;M
74376;VANDER LOUBET;PT;MS;M
141553;VANDERLEI MACRIS;PSDB;SP;M
178913;VENEZIANO VITAL DO RÊGO;PSB;PB;M
74308;VICENTE ARRUDA;PR;CE;M
160622;VICENTE CANDIDO;PT;SP;M
74283;VICENTINHO;PT;SP;M
137070;VICENTINHO JÚNIOR;PR;TO;M
178888;VICTOR MENDES;MDB;MA;M
141555;VINICIUS CARVALHO;PRB;SP;M
160591;VINICIUS GURGEL;PR;AP;M
178992;VITOR LIPPI;PSDB;SP;M
92355;VITOR PAULO;PRB;DF;M
178869;VITOR VALIM;PROS;CE;M
189593;WADIH DAMOUS;PT;RJ;M
160569;WALDENOR PEREIRA;PT;BA;M
141558;WALDIR MARANHÃO;PSDB;MA;M
160631;WALNEY ROCHA;PATRI;RJ;M
178952;WALTER ALVES;MDB;RN;M
141560;WALTER IHOSHI;PSD;SP;M
160518;WELITON PRADO;PROS;MG;M
74043;WELLINGTON ROBERTO;PR;PB;M
167493;WEVERTON ROCHA;PDT;MA;M
160636;WILSON FILHO;PTB;PB;M
73930;WLADIMIR COSTA;SD;PA;M
74439;WOLNEY QUEIROZ;PDT;PE;M
178889;ZÉ CARLOS;PT;MA;M
73931;ZÉ GERALDO;PT;PA;M
160632;ZÉ SILVA;SD;MG;M
178923;ZECA CAVALCANTI;PTB;PE;M
160592;ZECA DIRCEU;PT;PR;M
178902;ZECA DO PT;PT;MS;M
74057;ALICE PORTUGAL;PCdoB;BA;F
178973;ANA PERUGINI;PT;SP;F
73701;BENEDITA DA SILVA;PT;RJ;F
160589;BRUNA FURLAN;PSDB;SP;F
178999;BRUNNY;PR;MG;F
164360;CARMEN ZANOTTO;PPS;SC;F
178928;CHRISTIANE DE SOUZA YARED;PR;PR;F
178939;CLARISSA GAROTINHO;PROS;RJ;F
178848;CONCEIÇÃO SAMPAIO;PSDB;AM;F
93472;CRISTIANE BRASIL;PTB;RJ;F
178892;DÂMINA PEREIRA;PODE;MG;F
178994;DULCE MIRANDA;MDB;TO;F
74075;ELCIONE BARBALHO;MDB;PA;F
178883;ELIZIANE GAMA;PPS;MA;F
160575;ERIKA KOKAY;PT;DF;F
160598;FLÁVIA MORAIS;PDT;GO;F
178966;GEOVANIA DE SÁ;PSDB;SC;F
129618;GORETE PEREIRA;PR;CE;F
67138;IRACEMA PORTELLA;PP;PI;F
74848;JANDIRA FEGHALI;PCdoB;RJ;F
73926;JANETE CAPIBERIBE;PSB;AP;F
178839;JÉSSICA SALES;MDB;AC;F
141503;JÔ MORAES;PCdoB;MG;F
114941;JOSI NUNES;PROS;TO;F
178851;JOZI ARAÚJO;PODE;AP;F
67312;JÚLIA MARINHO;PSC;PA;F
160659;KEIKO OTA;PSB;SP;F
74856;LAURA CARNEIRO;DEM;RJ;F
178832;LEANDRE;PV;PR;F
81366;LUANA COSTA;PSC;MA;F
160628;LUCIANA SANTOS;PCdoB;PE;F
74784;LUIZA ERUNDINA;PSOL;SP;F
178866;LUIZIANNE LINS;PT;CE;F
166402;MAGDA MOFATTO;PR;GO;F
160565;MARA GABRILLI;PSDB;SP;F
171619;MARGARIDA SALOMÃO;PT;MG;F
74398;MARIA DO ROSÁRIO;PT;RS;F
64960;MARIA HELENA;MDB;RR;F
178956;MARIANA CARVALHO;PSDB;RO;F
74177;MARINHA RAUPP;MDB;RO;F
66179;NORMA AYUB;DEM;ES;F
160639;PROFESSORA DORINHA SEABRA REZENDE;DEM;TO;F
160641;PROFESSORA MARCIVANIA;PCdoB;AP;F
178998;RAQUEL MUNIZ;PSD;MG;F
178925;REJANE DIAS;PT;PI;F
178945;ROSANGELA GOMES;PRB;RJ;F
178961;SHÉRIDAN;PSDB;RR;F
178911;SIMONE MORGADO;MDB;PA;F
178946;SORAYA SANTOS;PR;RJ;F
178901;TEREZA CRISTINA;DEM;MS;F
178862;TIA ERON;PRB;BA;F
73992;YEDA CRUSIUS;PSDB;RS;F
178949;ZENAIDE MAIA;PHS;RN;F
