"id","uri","sigla","nome","apelido","idTipoOrgao","tipoOrgao"
"537794","https://dadosabertos.camara.leg.br/api/v2/orgaos/537794","CEXTRANE","Comissão Externa com o objetivo de acompanhar in loco a situação em que se encontram as obras que compõem o projeto de construção da ferrovia Nova Transnordestina e quais as providências que foram e/ou serão adotadas para regularizar a execução do projeto, tendo em vista as irregularidades e as responsabilidades apuradas em auditoria realizada pelo TCU","CONSTRUÇÃO DA FERROVIA NOVA TRANSNORDESTINA","5","Comissão Externa"
"537796","https://dadosabertos.camara.leg.br/api/v2/orgaos/537796","CEXBARRA","Comissão Externa destinada a acompanhar e monitorar os desdobramentos do desastre ambiental, ocorrido em Mariana - MG e região no dia 05 de novembro de 2015, causado pelo rompimento de uma barragem","ROMPIMENTO DE BARRAGEM NA REGIÃO DE MARIANA - MG","5","Comissão Externa"
"537797","https://dadosabertos.camara.leg.br/api/v2/orgaos/537797","PEC51810","Comissão Especial destinada a proferir parecer à Proposta de Emenda à Constituição nº 518-A, de 2010, do Sr. Pompeo de Mattos e outros, que ""dá nova redação ao caput do art. 19 do Ato das Disposições Constitucionais Transitórias e revoga o § 2º do dispositivo"" (concede estabilidade aos servidores públicos, admitidos sob o regime celetista, em exercício na data de vigência do Regime Jurídico Único)","PEC 518/10 - ESTABILIDADE PARA SERVIDOR CELETISTA","3","Comissão Especial"
"537799","https://dadosabertos.camara.leg.br/api/v2/orgaos/537799","PEC04415","Comissão Especial destinada a proferir parecer à Proposta de Emenda à Constituição nº 44-A, de 2015, do Sr. Cabo Sabino e outros, que ""acrescenta um § 3º ao caput do art. 42, da Constituição Federal, definindo a carga horária de trabalho diária e semanal dos policiais e bombeiros militares""","PEC 044/15 - CARGA HORÁRIA DE POLICIAL E BOMBEIRO","3","Comissão Especial"
"537802","https://dadosabertos.camara.leg.br/api/v2/orgaos/537802","PL363615","Comissão Especial destinada a proferir parecer ao Projeto de Lei nº 3636, de 2015, do Senado Federal, que ""altera a Lei nº 12.846, de 1º de agosto de 2013, e a Lei nº 8.429, de 2 de junho de 1992, para permitir que o Ministério Público e a Advocacia Pública celebrem acordo de leniência, de forma isolada ou em conjunto, no âmbito da Lei nº 12.846, de 1º de agosto de 2013, e dá outras providências""","PL 3636/15 - ACORDO DE LENIÊNCIA","3","Comissão Especial"
"537804","https://dadosabertos.camara.leg.br/api/v2/orgaos/537804","PL629902","Comissão Especial destinada a proferir parecer ao Projeto de Lei nº 6299, de 2002, do Senado Federal, que ""altera os arts 3º e 9º da Lei nº 7.802, de 11 de julho de 1989, que dispõe sobre a pesquisa, a experimentação, a produção, a embalagem e rotulagem, o transporte, o armazenamento, a comercialização, a propaganda comercial, a utilização, a importação, a exportação, o destino final dos resíduos e embalagens, o registro, a classificação, o controle, a inspeção e a fiscalização de agrotóxicos, seus componentes e afins, e dá outras providências"", e apensados","PL 6299/02 - REGULA DEFENSIVOS FITOSSANITÁRIOS","3","Comissão Especial"
"537810","https://dadosabertos.camara.leg.br/api/v2/orgaos/537810","PL230315","Comissão Especial destinada a proferir parecer ao Projeto de Lei nº 2303, de 2015, do Sr. Aureo, que ""dispõe sobre a inclusão das moedas virtuais e programas de milhagem aéreas na definição de 'arranjos de pagamento' sob a supervisão do Banco Central"" (altera a Lei nº 12.865, de 2013 e da Lei 9.613, de 1998)","PL 2303/15 - BANCO CENTRAL REGULAR MOEDAS VIRTUAIS","3","Comissão Especial"
"537845","https://dadosabertos.camara.leg.br/api/v2/orgaos/537845","CEXZIKA","Comissão Externa destinada a acompanhar as ações referentes à epidemia de Zika vírus e à microcefalia","ACOMPANHAMENTO DAS AÇÕES SOBRE O ZIKA VÍRUS","5","Comissão Externa"
"537853","https://dadosabertos.camara.leg.br/api/v2/orgaos/537853","CEPREVI","Comissão Especial destinada a elaborar propostas legislativas visando à reforma da Previdência Social","PREVIDÊNCIA SOCIAL","3","Comissão Especial"
"537854","https://dadosabertos.camara.leg.br/api/v2/orgaos/537854","CEXOBRAS","Comissão Externa para acompanhar as obras do Governo Federal lastreadas com recursos do Orçamento Geral da União em andamento no país","OBRAS DO GOVERNO FEDERAL","5","Comissão Externa"
"537857","https://dadosabertos.camara.leg.br/api/v2/orgaos/537857","PL198315","Comissão Especial destinada a proferir parecer ao Projeto de Lei nº 1983, de 2015, do Sr. Hildo Rocha, que ""altera o art. 28 da Lei nº 8.935, de 18 de novembro de 1994, que 'regulamenta o art. 236 da Constituição Federal, dispondo sobre serviços notariais e de registro (Lei dos cartórios)', para estabelecer que os notários e oficiais de registro serão remunerados por subsídio, em até ao valor idêntico recebido pelos Ministros do Supremo Tribunal Federal, e que a soma dos emolumentos arrecadados pelas serventias que superar as respectivas despesas com pessoal e com custeio em geral será destinada à saúde pública""","PL 1983/15 - TETO REMUNERATÓRIO PARA CARTÓRIOS","3","Comissão Especial"
"537859","https://dadosabertos.camara.leg.br/api/v2/orgaos/537859","CEPAZ","Comissão Especial destinada a elaborar propostas legislativas e a promover a Cultura da Paz","CESP - CULTURA DA PAZ","3","Comissão Especial"
"537861","https://dadosabertos.camara.leg.br/api/v2/orgaos/537861","CEXVOOS","Comissão Externa destinada a levantar, acompanhar e fiscalizar o cancelamento de voos nas cidades da Região Norte, devido a prejuízos econômicos sofridos pelas companhias aéreas","CANCELAMENTO DE VOOS NA REGIÃO NORTE DO BRASIL","5","Comissão Externa"
"537862","https://dadosabertos.camara.leg.br/api/v2/orgaos/537862","PL486016","Comissão Especial destinada a proferir parecer ao Projeto de Lei nº 4860, de 2016, da Sra. Christiane de Souza Yared, que ""institui normas para regulação do transporte rodoviário de cargas em território nacional e dá outras providências""","PL 4860/16 - TRANSPORTE RODOVIÁRIO DE CARGAS","3","Comissão Especial"
"537865","https://dadosabertos.camara.leg.br/api/v2/orgaos/537865","PL485016","Comissão Especial destinada a proferir parecer ao Projeto de Lei nº 4850, de 2016, do Sr. Antonio Carlos Mendes Thame e outros, que ""estabelece medidas contra a corrupção e demais crimes contra o patrimônio público e combate o enriquecimento ilícito de agentes públicos""","PL 4850/16 - ESTABELECE MEDIDAS CONTRA A CORRUPÇÃO","3","Comissão Especial"
"537870","https://dadosabertos.camara.leg.br/api/v2/orgaos/537870","CMULHER","Comissão de Defesa dos Direitos da Mulher","DEFESA DOS DIREITOS DA MULHER","2","Comissão Permanente"
"537871","https://dadosabertos.camara.leg.br/api/v2/orgaos/537871","CIDOSO","Comissão de Defesa dos Direitos da Pessoa Idosa","DEFESA DOS DIREITOS DA PESSOA IDOSA","2","Comissão Permanente"
"537874","https://dadosabertos.camara.leg.br/api/v2/orgaos/537874","PL718014","Comissão Especial destinada a proferir parecer ao Projeto de Lei nº 7180, de 2014, do Sr. Erivelton Santana, que ""altera o art. 3º da Lei nº 9.394, de 20 de dezembro de 1996"" (inclui entre os princípios do ensino o respeito às convicções do aluno, de seus pais ou responsáveis, dando precedência aos valores de ordem familiar sobre a educação escolar nos aspectos relacionados à educação moral, sexual e religiosa), e apensados","PL 7180/14 - ESCOLA SEM PARTIDO","3","Comissão Especial"
"537877","https://dadosabertos.camara.leg.br/api/v2/orgaos/537877","SUBSANAM","Subcomissão Permanente de Saneamento Ambiental - SANEAR","CDU-SUBCOMISSÃO PERMANENTE DE SANEAMENTO AMBIENTAL","25","Subcomissão"
"537884","https://dadosabertos.camara.leg.br/api/v2/orgaos/537884","SUBFARMA","Subcomissão Especial destinada a tratar de temas relacionados ao uso de fármacos experimentais para o tratamento de doenças graves ou raras","CSSF-SUB. ESPECIAL USO FÁRMACOS EXPERIMENTAIS","25","Subcomissão"
"537890","https://dadosabertos.camara.leg.br/api/v2/orgaos/537890","SUBDSEI","Subcomissão Permanente para discutir e acompanhar a aplicação e alocação dos recursos federais nos Distritos Sanitários Especiais Indígenas (DSEIs) de todo território nacional","CINDRA-SUB. PERM. APLICAÇÃO RECURSOS NOS DSEI","25","Subcomissão"
"537893","https://dadosabertos.camara.leg.br/api/v2/orgaos/537893","CEXCREST","Comissão Externa destinada a acompanhar a apuração e as ações vinculadas aos crimes de estupro em todo o território nacional","ACOMPANHAMENTO APURAÇÃO CRIMES DE ESTUPRO","5","Comissão Externa"
"537894","https://dadosabertos.camara.leg.br/api/v2/orgaos/537894","PEC13415","Comissão Especial destinada a proferir parecer à Proposta de Emenda à Constituição nº 134-A, de 2015, do Senado Federal, que ""acrescenta art. 101 ao Ato das Disposições Constitucionais Transitórias para reservar vagas para cada gênero na Câmara dos Deputados, nas Assembleias Legislativas, na Câmara Legislativa do Distrito Federal e nas Câmaras Municipais, nas 3 (três) legislaturas subsequentes"", e apensadas","PEC 134/15 - PARTICIPAÇÃO FEMININA NO LEGISLATIVO","3","Comissão Especial"
"537896","https://dadosabertos.camara.leg.br/api/v2/orgaos/537896","PEC21216","Comissão Especial destinada a proferir parecer à Proposta de Emenda à Constituição nº 212-A, de 2016, do Senado Federal, que ""acrescenta art. 101 ao Ato das Disposições Constitucionais Transitórias para instituir novo regime especial de pagamento de precatórios""","PEC 212/16 - REGIME ESPECIAL PAGAMENTO PRECATÓRIOS","3","Comissão Especial"
"537900","https://dadosabertos.camara.leg.br/api/v2/orgaos/537900","SUBMMA","Subcomissão Especial das Artes Marciais Mistas (MMA)","CESPO-SUBCOMISSÃO ESPECIAL ARTES MARCIAIS MISTAS","25","Subcomissão"
"537901","https://dadosabertos.camara.leg.br/api/v2/orgaos/537901","PEC20016","Comissão Especial destinada a proferir parecer à Proposta de Emenda à Constituição nº 200-A, de 2016, do Senado Federal, que ""acrescenta § 1º-A ao art. 156 da Constituição Federal para prever a não incidência sobre templos de qualquer culto do Imposto sobre a Propriedade Predial e Territorial Urbana (IPTU), ainda que as entidades abrangidas pela imunidade tributária sejam apenas locatárias do bem imóvel"".","PEC 200/16 - ISENÇÃO DE IPTU PARA TEMPLOS","3","Comissão Especial"
"537910","https://dadosabertos.camara.leg.br/api/v2/orgaos/537910","CEXBACAB","Comissão Externa destinada a acompanhar as ações e os debates relativos aos deslizamentos e ao processo de erosão na Barreira do Cabo Branco, em João Pessoa (PB), com vistas à recuperação e ao reflorestamento da região","BARREIRA DO CABO BRANCO","5","Comissão Externa"
"537917","https://dadosabertos.camara.leg.br/api/v2/orgaos/537917","PL586416","Comissão Especial destinada a proferir parecer ao Projeto de Lei nº 5864, de 2016, do Poder Executivo, que ""dispõe sobre a Carreira Tributária e Aduaneira da Receita Federal do Brasil, institui o Programa de Remuneração Variável da Receita Federal do Brasil e dá outras providências""","PL 5864/16 - CARREIRA DA RECEITA FEDERAL","3","Comissão Especial"
"537922","https://dadosabertos.camara.leg.br/api/v2/orgaos/537922","PL406012","Comissão Especial destinada a proferir parecer ao Projeto de Lei nº 4060, de 2012, do Dep. Milton Monti, que ""dispõe sobre o tratamento de dados pessoais e dá outras providências"", e apensado","PL 4060/12 - TRATAMENTO E PROTEÇÃO DADOS PESSOAIS","3","Comissão Especial"
"537923","https://dadosabertos.camara.leg.br/api/v2/orgaos/537923","SUBPROFE","SUBPROFE - Subcomissão Permanente de Acompanhamento e Fiscalização de Programas Federais","CFFC - SUB. PERM. FISCALIZAÇÃO PROGRAMAS FEDERAIS","25","Subcomissão"
"537927","https://dadosabertos.camara.leg.br/api/v2/orgaos/537927","PL741906","Comissão Especial destinada a proferir parecer ao Projeto de Lei nº 7419, de 2006, do Senado Federal, que ""altera a Lei nº 9.656, de 3 de junho de 1998, que dispõe sobre os planos e seguros privados de assistência à saúde"", e apensados","PL 7419/06 - PLANOS DE SAÚDE","3","Comissão Especial"
"537939","https://dadosabertos.camara.leg.br/api/v2/orgaos/537939","CEPOLITI","Comissão Especial para análise, estudo e formulação de proposições relacionadas à Reforma Política","CESP - REFORMA POLÍTICA","3","Comissão Especial"
"537942","https://dadosabertos.camara.leg.br/api/v2/orgaos/537942","CEXTUBAR","Comissão Externa objetivando acompanhar a situação de Emergência do Município de Tubarão/SC, Região Sul e outros municípios do Estado","SITUAÇÃO DE EMERGÊNCIA DO MUNICÍPIO DE TUBARÃO/SC","5","Comissão Externa"
