id;nome;siglaPartido;siglaUf;urlFoto
160673;GIOVANI CHERINI;PR;RS;http://www.camara.leg.br/internet/deputado/bandep/160673.jpg
178996;GIOVANI FELTES;PMDB;RS;http://www.camara.leg.br/internet/deputado/bandep/178996.jpg
178878;GIUSEPPE VECCI;PSDB;GO;http://www.camara.leg.br/internet/deputado/bandep/178878.jpg
74558;GIVALDO CARIMBÃO;AVANTE;AL;http://www.camara.leg.br/internet/deputado/bandep/74558.jpg
178872;GIVALDO VIEIRA;PCdoB;ES;http://www.camara.leg.br/internet/deputado/bandep/178872.jpg
152605;GLAUBER BRAGA;PSOL;RJ;http://www.camara.leg.br/internet/deputado/bandep/152605.jpg
74419;GONZAGA PATRIOTA;PSB;PE;http://www.camara.leg.br/internet/deputado/bandep/74419.jpg
129618;GORETE PEREIRA;PR;CE;http://www.camara.leg.br/internet/deputado/bandep/129618.jpg
178980;GOULART;PSD;SP;http://www.camara.leg.br/internet/deputado/bandep/178980.jpg
160667;GUILHERME MUSSI;PP;SP;http://www.camara.leg.br/internet/deputado/bandep/160667.jpg
178964;HEITOR SCHUCH;PSB;RS;http://www.camara.leg.br/internet/deputado/bandep/178964.jpg
178873;HELDER SALOMÃO;PT;ES;http://www.camara.leg.br/internet/deputado/bandep/178873.jpg
178909;HÉLIO LEITE;DEM;PA;http://www.camara.leg.br/internet/deputado/bandep/178909.jpg
73482;HENRIQUE FONTANA;PT;RS;http://www.camara.leg.br/internet/deputado/bandep/73482.jpg
97707;HERÁCLITO FORTES;DEM;PI;http://www.camara.leg.br/internet/deputado/bandep/97707.jpg
178981;HERCULANO PASSOS;PMDB;SP;http://www.camara.leg.br/internet/deputado/bandep/178981.jpg
73772;HERMES PARCIANELLO;PMDB;PR;http://www.camara.leg.br/internet/deputado/bandep/73772.jpg
160596;HEULER CRUVINEL;PP;GO;http://www.camara.leg.br/internet/deputado/bandep/160596.jpg
178884;HILDO ROCHA;PMDB;MA;http://www.camara.leg.br/internet/deputado/bandep/178884.jpg
