idProposicao;proposicaoTipo;ementa;dataApresentacao
2138736;Requerimento;Requer que sejam ouvidos os senhores Ilan Goldfajn, Presidente do Banco Central do Brasil (BC), Leonardo Pereira, Presidente da Comissão de Valores Mobiliários (CVM) e Celso Finkelstain, Diretor Presidente da BM&FBOVESPA, para esclarecer acerca da movimentação atípica no mercado financeiro ocorrido em 17 do corrente.;2017-05-23
2138738;Indicação;Sugere ao Poder Executivo, por intermédio do Ministério da Saúde, a apresentação de projeto de lei para alterar a composição dos Conselhos Regionais de Odontologia.;2017-05-23
2138740;Requerimento de Desapensação;Requer o desapensamento do Projeto de Lei Nº 7.469/2017 do Projeto de Lei Nº 7.259/2017.;2017-05-23
2138749;Requerimento de Audiência Pública;Requer a realização de audiência pública para debater Intercorrências e óbitos em consequência da lipoaspiração.;2017-05-23
2138750;Mensagem;Encaminha ao Congresso Nacional o  Relatório de Avaliação de Receitas e Despesas, em cumprimento ao disposto no art. 58 da Lei nº 13.408, de 26 de dezembro de 2016,;2017-05-23
2138751;Indicação;Sugere à Procuradoria-Geral da República a continuidade do inquérito nº 4483, suspendendo, porém, os termos do acordo de colaboração premiada dos empresários Joesley e Wesley Mendonça Batista.;2017-05-23
2138752;Indicação;Sugere ao Ministro do Supremo Tribunal Federal, Min. Edson Fachin, a reconsideração da decisão que homologou o Termo de Acordo de Colaboração Premiada dos empresários Joesley e Wesley Batista.;2017-05-23
2138753;Projeto de Decreto Legislativo de Sustação de Atos Normativos do Poder Executivo;Susta a Sistemática para Desinvestimentos de Ativos e Empresas do Sistema Petrobras da Petróleo Brasileiro S.A. - Petrobras.;2017-05-23
2138758;Requerimento;Requer apoio da Comissão de Cultura para realização de exposição de arte contemporânea como parte de encerramento do 14º Seminário LGBT do Congresso Nacional;2017-05-23
2138766;Indicação;Solicita, ao Excelentíssimo Senhor Ministro das Cidades, a destinação de recursos financeiros para a realização de obras de infraestrutura urbana em União Paulista, município localizado no Estado de São Paulo.;2017-05-23
2138767;Requerimento de Voto de regozijo ou louvor;Requer Moção de Louvor ao delegado Miguel Lucena, exonerado do cargo de diretor de Comunicação Social da Polícia Civil de Brasília, após ter abordado em conversa fechada um tema muito importante e recorrente no País: os casos de estupros praticados dentro das casas das vítimas por parentes e por padrastos.;2017-05-23
2138768;Indicação;Solicita, ao Excelentíssimo Senhor Ministro das Cidades, a destinação de recursos financeiros para a realização de obras de infraestrutura urbana em Orindiúva, município localizado no Estado de São Paulo.;2017-05-23
2138770;Requerimento de Voto de regozijo ou louvor;Requer Moção de Louvor ao Grupo Bandeirantes de Comunicação, um dos mais importantes e reconhecidos deste País, pela comemoração dos 80 anos de existência.;2017-05-23
2138771;Indicação;Solicita, ao Excelentíssimo Senhor Ministro das Cidades, a destinação de recursos financeiros para a realização de obras de infraestrutura urbana em Paraíso, município localizado no Estado de São Paulo.;2017-05-23
2138772;Requerimento de Prorrogação de prazo de Comissão Temporária;Requer a prorrogação do prazo de funcionamento desta CPI - FUNAI e INCRA 2, por 30 (trinta) dias a contar do término efetivo dos trabalhos (26/05/2017), pelas razões que especifica.;2017-05-23
2138773;Requerimento;Requer a convocação do Ministro de Estado da Fazenda, para prestar esclarecimentos sobre sua atuação no grupo empresarial J&F Participações, holding proprietária do grupo JBS, entre 2012 e 2016.;2017-05-23
2138774;Requerimento de Voto de regozijo ou louvor;Requer Moção de Louvor à Polícia Civil de São Paulo e ao Sport Club Corinthians Paulista pela campanha de Dia das Mães, que estampou fotos de filhos e filhas desaparecidos nos uniformes dos jogadores na partida do dia 13 de maio de 2017.;2017-05-23
2138776;Requerimento de Voto de regozijo ou louvor;Requer Moção de Louvor à Polícia Rodoviária Federal de São José do Rio Preto, nas pessoas dos policiais Eduardo Augusto Martins Almeida, Nadiene Cristina Cassol, Daniel Mataragi Filho e Luciano Rodrigues Costa, por ação na rodovia Transbrasiliana (BR-153), que apreendeu seis mil comprimidos de droga sintética.;2017-05-23
2138778;Requerimento de Voto de regozijo ou louvor;Requer a aprovação de Moção de Louvor pelos 8 anos de fundação oficial da Associação dos Aposentados, Pensionistas e Idosos de Novo Horizonte e Região, e também por seus 15 anos de atividades ininterruptas, pois antes de tornar-se uma entidade independente foi subsede da antiga matriz localizada na cidade de Catanduva.;2017-05-23
2138779;Indicação;Solicita, ao Excelentíssimo Senhor Ministro das Cidades, a destinação de recursos financeiros para a realização de obras de infraestrutura urbana em Onda Verde, município localizado no Estado de São Paulo.;2017-05-23
2138782;Indicação;Solicita, ao Excelentíssimo Senhor Ministro das Cidades, a destinação de recursos financeiros para a realização de obras de infraestrutura urbana em Novais, município localizado no Estado de São Paulo.;2017-05-23
2138784;Indicação;Solicita, ao Excelentíssimo Senhor Ministro das Cidades, a destinação de recursos financeiros para a realização de obras de infraestrutura urbana em Nova Granada, município localizado no Estado de São Paulo.;2017-05-23
2138785;Indicação;Solicita, ao Excelentíssimo Senhor Ministro das Cidades, a destinação de recursos financeiros para a realização de obras de infraestrutura urbana em Magda, município localizado no Estado de São Paulo.;2017-05-23
2138786;Indicação;Solicita, ao Excelentíssimo Senhor Ministro das Cidades, a destinação de recursos financeiros para a realização de obras de infraestrutura urbana em Itajobi, município localizado no Estado de São Paulo.;2017-05-23
2138787;Indicação;Solicito ao Excelentíssimo Senhor Ministro da Saúde a destinação de recursos financeiros para serem aplicados na Estruturação da Atenção Especializada em Saúde Mental do Município de Catanduva, localizado no Estado de São;2017-05-23
2138788;Indicação;Solicita, ao Excelentíssimo Senhor Ministro das Cidades, a destinação de recursos financeiros para a realização de obras de infraestrutura urbana em Buritama, município localizado no Estado de São Paulo.;2017-05-23
2138790;Indicação;Solicita, ao Excelentíssimo Senhor Ministro das Cidades, a destinação de recursos financeiros para a realização de obras de infraestrutura urbana em Bálsamo, município localizado no Estado de São Paulo.;2017-05-23
2138791;Requerimento de Audiência Pública;Requer a realização de Audiência Pública para debater a proibição de entrega de resultado de perícia médica por servidores no âmbito do INSS e o atendimento precário nas Agências da Previdência Social de nosso País.;2017-05-23
2138792;Indicação;Solicita, ao Excelentíssimo Senhor Ministro das   Cidades, a destinação de recursos financeiros para a realização de obras de infraestrutura urbana em Auriflama, município localizado no Estado de São Paulo.;2017-05-23
2138794;Indicação;Solicito ao Excelentíssimo Senhor Ministro da Saúde a destinação de recursos financeiros para serem aplicados na Estruturação da Atenção Especializada em Saúde Mental do Município de Araçatuba, localizado no Estado de São Paulo.;2017-05-23
2138795;Indicação;Solicito ao Excelentíssimo Senhor Ministro da Saúde a destinação de recursos financeiros para a para a Santa Casa de Misericórdia de Araçatuba, importante município localizado no Estado de São Paulo.;2017-05-23
2138796;Indicação;Solicita, ao Excelentíssimo Senhor Ministro da Saúde a destinação de recursos financeiros para o Controle Populacional de Cães e Gatos no Município de Assis, localizado no Estado de São Paulo.;2017-05-23
2138797;Indicação;Solicita, ao Excelentíssimo Senhor Ministro da Saúde a destinação de recursos financeiros para o Controle Populacional de Cães e Gatos no Município de Santa Adélia, localizado no Estado de São Paulo.;2017-05-23
2138798;Indicação;Solicita, ao Excelentíssimo Senhor Ministro da Saúde a destinação de recursos financeiros para o Controle Populacional de Cães e Gatos no Município de Cajobi, localizado no Estado de São Paulo.;2017-05-23
2138799;Indicação;Solicita, ao Excelentíssimo Senhor Ministro da Saúde a destinação de recursos financeiros para o Controle Populacional de Cães e Gatos no Município de Duartina, localizado no Estado de São Paulo.;2017-05-23
2138800;Indicação;Solicita, ao Excelentíssimo Senhor Ministro da Saúde a destinação de recursos financeiros para o Controle Populacional de Cães e Gatos no Município de Graça, localizado no Estado de São Paulo.;2017-05-23
2138801;Indicação;Solicita, ao Excelentíssimo Senhor Ministro da Saúde a destinação de recursos financeiros para o Controle Populacional de Cães e Gatos no Município de Itajobi, localizado no Estado de São Paulo.;2017-05-23
2138803;Indicação;Solicita, ao Excelentíssimo Senhor Ministro da Saúde a destinação de recursos financeiros para o Controle Populacional de Cães e Gatos no Município de Dracena, localizado no Estado de São Paulo.;2017-05-23
2138804;Indicação;Solicita, ao Excelentíssimo Senhor Ministro da Saúde a destinação de recursos financeiros para o Controle Populacional de Cães e Gatos no Município de Borborema, localizado no Estado de São Paulo.;2017-05-23
2138805;Indicação;Solicita, ao Excelentíssimo Senhor Ministro da Saúde a destinação de recursos financeiros para o Controle Populacional de Cães e Gatos no Município de Taciba, localizado no Estado de São Paulo.;2017-05-23
2138806;Indicação;Solicita, ao Excelentíssimo Senhor Ministro da Saúde a destinação de recursos financeiros para o Controle Populacional de Cães e Gatos no Município de Ouroeste, localizado no Estado de São Paulo.;2017-05-23
2138809;Indicação;Solicita, ao Excelentíssimo Senhor Ministro das Cidades, a destinação de recursos financeiros para a realização de obras de infraestrutura urbana em Elisiário, município localizado no Estado de São Paulo.;2017-05-23
2138810;Indicação;Solicita, ao Excelentíssimo Senhor Ministro das Cidades, a destinação de recursos financeiros para a realização de obras de infraestrutura urbana em Marapoama, município localizado no Estado de São Paulo.;2017-05-23
