b'uri',b'nome',b'codTipo',b'tipo',b'idProposicao'
https://dadosabertos.camara.leg.br/api/v2/deputados/178970,João Daniel,10000,Deputado,2151926
https://dadosabertos.camara.leg.br/api/v2/deputados/73701,Benedita da Silva,10000,Deputado,2151930
https://dadosabertos.camara.leg.br/api/v2/deputados/160598,Flávia Morais,10000,Deputado,2151936
https://dadosabertos.camara.leg.br/api/v2/deputados/160598,Flávia Morais,10000,Deputado,2151937
https://dadosabertos.camara.leg.br/api/v2/deputados/141555,Vinicius Carvalho,10000,Deputado,2151938
https://dadosabertos.camara.leg.br/api/v2/deputados/74378,Assis do Couto,10000,Deputado,2151939
https://dadosabertos.camara.leg.br/api/v2/deputados/141470,José Guimarães,10000,Deputado,2151941
https://dadosabertos.camara.leg.br/api/v2/deputados/160598,Flávia Morais,10000,Deputado,2151942
https://dadosabertos.camara.leg.br/api/v2/deputados/178887,Rubens Pereira Júnior,10000,Deputado,2151949
https://dadosabertos.camara.leg.br/api/v2/deputados/73579,Alberto Fraga,10000,Deputado,2151951
https://dadosabertos.camara.leg.br/api/v2/deputados/178948,Beto Rosado,10000,Deputado,2151958
https://dadosabertos.camara.leg.br/api/v2/deputados/141411,Dagoberto Nogueira,10000,Deputado,2151959
https://dadosabertos.camara.leg.br/api/v2/deputados/160575,Erika Kokay,10000,Deputado,2151960
https://dadosabertos.camara.leg.br/api/v2/deputados/134812,Edmilson Rodrigues,10000,Deputado,2151961
https://dadosabertos.camara.leg.br/api/v2/deputados/66179,Norma Ayub,10000,Deputado,2151971
https://dadosabertos.camara.leg.br/api/v2/deputados/178955,Luiz Cláudio,10000,Deputado,2151977
https://dadosabertos.camara.leg.br/api/v2/deputados/178955,Luiz Cláudio,10000,Deputado,2151978
https://dadosabertos.camara.leg.br/api/v2/deputados/178865,Cabo Sabino,10000,Deputado,2151980
https://dadosabertos.camara.leg.br/api/v2/deputados/178825,Leo de Brito,10000,Deputado,2151981
https://dadosabertos.camara.leg.br/api/v2/deputados/178955,Luiz Cláudio,10000,Deputado,2151984
https://dadosabertos.camara.leg.br/api/v2/deputados/160570,Jerônimo Goergen,10000,Deputado,2151988
https://dadosabertos.camara.leg.br/api/v2/deputados/141536,Rômulo Gouveia,10000,Deputado,2151989
https://dadosabertos.camara.leg.br/api/v2/deputados/178978,Flavinho,10000,Deputado,2151990
https://dadosabertos.camara.leg.br/api/v2/deputados/141536,Rômulo Gouveia,10000,Deputado,2151991
https://dadosabertos.camara.leg.br/api/v2/deputados/160559,Alceu Moreira,10000,Deputado,2151996
https://dadosabertos.camara.leg.br/api/v2/deputados/160601,Pr. Marco Feliciano,10000,Deputado,2152004
https://dadosabertos.camara.leg.br/api/v2/deputados/74216,Raimundo Gomes de Matos,10000,Deputado,2152008
https://dadosabertos.camara.leg.br/api/v2/deputados/160633,Mandetta,10000,Deputado,2152017
https://dadosabertos.camara.leg.br/api/v2/deputados/178953,Expedito Netto,10000,Deputado,2152021
https://dadosabertos.camara.leg.br/api/v2/deputados/178953,Expedito Netto,10000,Deputado,2152022
https://dadosabertos.camara.leg.br/api/v2/deputados/160672,Jean Wyllys,10000,Deputado,2152033
https://dadosabertos.camara.leg.br/api/v2/deputados/72912,Celso Pansera,10000,Deputado,2152035
https://dadosabertos.camara.leg.br/api/v2/deputados/178926,Rodrigo Martins,10000,Deputado,2152039
https://dadosabertos.camara.leg.br/api/v2/deputados/160636,Wilson Filho,10000,Deputado,2152043
https://dadosabertos.camara.leg.br/api/v2/deputados/160636,Wilson Filho,10000,Deputado,2152044
https://dadosabertos.camara.leg.br/api/v2/deputados/178970,João Daniel,10000,Deputado,2152049
https://dadosabertos.camara.leg.br/api/v2/deputados/178978,Flavinho,10000,Deputado,2152055
https://dadosabertos.camara.leg.br/api/v2/deputados/178878,Giuseppe Vecci,10000,Deputado,2152058
https://dadosabertos.camara.leg.br/api/v2/deputados/74784,Luiza Erundina,10000,Deputado,2152059
https://dadosabertos.camara.leg.br/api/v2/deputados/160639,Professora Dorinha Seabra Rezende,10000,Deputado,2152063
https://dadosabertos.camara.leg.br/api/v2/deputados/160601,Pr. Marco Feliciano,10000,Deputado,2152065
https://dadosabertos.camara.leg.br/api/v2/deputados/160601,Pr. Marco Feliciano,10000,Deputado,2152066
https://dadosabertos.camara.leg.br/api/v2/deputados/74558,Givaldo Carimbão,10000,Deputado,2152067
https://dadosabertos.camara.leg.br/api/v2/deputados/141503,Jô Moraes,10000,Deputado,2152069
